IssueID,Repo,Number(sequence No. in the current repo),TDType,QA
202366560,girikuncoro/cageur,61,Infrastructure TD,Maintainability
209415069,getredash/redash,1625,Architectural TD,Performance efficiency
164466220,getquill/quill,431,Design TD,Reliability
149742516,getquill/quill,326,Design TD,Maintainability
741929195,geopm/geopm,1411,Requirements TD,Usability
677200190,geopm/geopm,1234,Architectural TD,Maintainability
297088332,gbif/pipelines,36,Design TD,Maintainability
511627125,frc2052/FRC-Krawler,46,Architectural TD,Portability
556294060,FoundationDB/fdb-kubernetes-operator,95,Design TD,Compatibility
742378690,FoundationDB/fdb-kubernetes-operator,379,Code TD,Maintainability
636576237,flutter/flutter,59205,Architectural TD,Maintainability 
409258870,fluencelabs/fluence,433,Build TD,Maintainability
33299144,flipside-org/penny-harvest,48,Design TD,Maintainability
471503519,filipvanlaenen/tsvgj,10,Code TD,Maintainability
202478831,fabric8-ui/fabric8-planner,798,Code TD,Maintainability
388925835,ev3dev-lang-java/ev3dev-lang-java,607,Test TD,Functional suitability
308288697,ev3dev-lang-java/ev3dev-lang-java,436,Design TD,Functional suitability
123484627,esainane/quassel,14,Defect TD,Reliability
383874430,Equibit/explorer,3,Architectural TD,Maintainability
260486061,EPICmynamesBG/subito-bot,20,Design TD,Maintainability
402077279,epic7tools/epicseven-tools,63,Design TD,Performance efficiency
223119617,epam/Lagerta,165,Test TD,Reliability
544797645,envoyproxy/envoy,9541,Defect TD,Reliability
512195112,envoyproxy/envoy,8756,Architectural TD,Functional suitability
421210996,envoyproxy/envoy,6288,Test TD,Maintainability
393236422,envoyproxy/envoy,5382,Design TD,Maintainability
367302778,envoyproxy/envoy,4617,Design TD,Maintainability
367005716,envoyproxy/envoy,4605,Design TD,Maintainability
262800090,envoyproxy/envoy,1808,Test TD,Maintainability
260989602,envoyproxy/envoy,1754,Architectural TD,Maintainability 
758775757,envoyproxy/envoy,14307,Design TD,Performance efficiency
654305430,envoyproxy/envoy,11996,Test TD,Maintainability
652656417,envoyproxy/envoy,11934,Architectural TD,Maintainability
237670107,envoyproxy/envoy,1162,Test TD,Maintainability
405442423,enterprise-data-foundation/delta-test,4,Architectural TD,Reliability
198093938,ensime/ensime-vim,357,Defect TD,Usability
155862903,ensime/ensime-vim,271,Test TD,Maintainability 
582582493,enarx/enarx,336,Test TD,Security
581911542,enarx/enarx,332,Documentation TD,Functional suitability
465148272,elifesciences/elife-xpub,2242,Architectural TD,Portability
331199013,elifesciences/elife-xpub,192,Architectural TD,Maintainability
426442806,elifesciences/elife-xpub,1803,Defect TD,Reliability
426435325,elifesciences/elife-xpub,1801,Architectural TD,Maintainability 
406235641,elifesciences/elife-xpub,1437,Design TD,Reliability
401774931,elifesciences/elife-xpub,1371,Test TD,Maintainability
704665217,elastic/kibana,77958,Documentation TD,Usability
666388274,elastic/kibana,73300,Design TD,Functional suitability
648436134,elastic/kibana,70358,Architectural TD,Maintainability
570162992,elastic/kibana,58411,Design TD,Maintainability 
420494489,elastic/kibana,33123,Architectural TD,Maintainability
417852427,elastic/kibana,32559,Architectural TD,Performance efficiency
516069926,elastic/apm-agent-rum-js,473,Defect TD,Compatibility
423140073,elastic/apm-agent-rum-js,220,Test TD,Maintainability
504747719,elastic/apm-agent-java,881,Design TD,Maintainability
642162594,edgexfoundry/edgex-go,2594,Architectural TD,Functional suitability
758919834,edgexfoundry/app-service-configurable,146,Architectural TD,Maintainability
380269725,eclipse/lemminx,219,Defect TD,Portability
396139734,drkohlipk/vscode-run-npm-on-save,6,Documentation TD,Maintainability
291903569,dotmesh-io/dotmesh,188,Test TD,Reliability
656065357,dogger/app.dogger.io,464,Design TD,Performance efficiency
697924350,docker/compose-cli,601,Code TD,Functional suitability
697915381,docker/compose-cli,600,Code TD,Maintainability
643794330,docker/compose-cli,265,Infrastructure TD,Maintainability
589839201,dmt195/octopus_data,3,Architectural TD,Maintainability
602606718,Division2Builder/division2builder,15,Design TD,Maintainability
729725306,Dirk-tooth/appomatic,3,Architectural TD,Maintainability
487223215,diem/diem,775,Architectural TD,Reliability
523064813,diem/diem,1762,Test TD,Reliability
323292144,dhiemstra/esi,26,Test TD,Maintainability
431179443,devopsproducts/products,89,Test TD,Maintainability
318720850,Devops-Wishlists/wishlists,106,Test TD,Maintainability
528346887,devops-orders/orders,119,Design TD,Maintainability
440492400,devops-inventory/inventory,110,Test TD,Maintainability 
417115864,devopsfantasticfour/shopcarts,10,Documentation TD,Maintainability 
317428065,DevOps-Customers-J2MN/customers,63,Infrastructure TD,Maintainability
298685063,DevOps2018-Promotions/promotions,25,Test TD,Maintainability
379982790,devops-customers-18/customers,71,Test TD,Maintainability 
448185785,desktop/desktop,7627,Architectural TD,Maintainability
403296314,desktop/desktop,6718,Design TD,Maintainability
168137925,desktop/desktop,188,Architectural TD,Maintainability
229185565,desktop/desktop,1522,Design TD,Reliability
164573344,desktop/desktop,137,Architectural TD,Maintainability
225581105,desktop/desktop,1342,Architectural TD,Reliability
225581050,desktop/desktop,1341,Defect TD,Reliability
740065446,dequelabs/axe-core,2632,Code TD,Maintainability
727667843,dequelabs/axe-core,2589,Test TD,Maintainability
687331624,dequelabs/axe-core,2497,Test TD,Maintainability
610043136,department-of-veterans-affairs/va.gov-team,8596,Design TD,Maintainability
600543982,department-of-veterans-affairs/va.gov-team,8050,Test TD,Maintainability
549014850,department-of-veterans-affairs/va.gov-team,4774,Test TD,Maintainability 
659297433,department-of-veterans-affairs/va.gov-team,11350,Defect TD,Reliability
654048813,department-of-veterans-affairs/va.gov-team,11068,Architectural TD,Portability
590453141,department-of-veterans-affairs/va.gov-cms,1361,Documentation TD,Maintainability
625754308,department-of-veterans-affairs/notification-api,66,Design TD,Maintainability
383548429,decentraland/marketplace-legacy,688,Code TD,Maintainability
555143913,dcasadevall/tabletop-combat-helper,94,Design TD,Maintainability
421978673,daviswhitehead/shayr-app,150,Design TD,Maintainability
679866473,DaveJarvis/keenwrite,71,Design TD,Maintainability 
335425776,datacamp/pythonwhat,294,Design TD,Reliability
428356558,DataBiosphere/azul,862,Defect TD,Reliability
734777603,DataBiosphere/azul,2403,Design TD,Reliability
662100885,DataBiosphere/azul,2040,Design TD,Maintainability
644824244,DataBiosphere/azul,1921,Versioning TD,Maintainability
724808674,dart-lang/dartdoc,2396,Architectural TD,Maintainability
748874117,daostack/alchemy,2277,Architectural TD,Performance efficiency
149362505,DanGrew/JttDesktop,100,Architectural TD,Maintainability
611130844,dan-solli/ottra,329,Requirements TD,Functional suitability
540433964,ctoec/ecis-experimental,471,Design TD,Usability
486361165,CSCfi/rems,1548,Design TD,Maintainability
462798190,crossplane/crossplane,558,Defect TD,Security
443574036,crossplane/crossplane,452,Test TD,Maintainability
443222561,crossplane/crossplane,448,Architectural TD,Maintainability
403389414,crossplane/crossplane,300,Defect TD,Reliability
632783698,COVID-19-electronic-health-system/Corona-tracker,729,Code TD,Reliability
705030167,corewa-rs/corewars,43,Documentation TD,Maintainability
734010685,coopcycle/coopcycle-web,1887,Design TD,Maintainability
709506600,coopcycle/coopcycle-web,1755,Design TD,Portability
675572492,connorshea/vglist,1436,Design TD,Performance efficiency
217082199,compumike08/GitHub_Status_API_GUI,45,Design TD,Functional suitability
198067537,cloud-gov/cg-dashboard,885,Defect TD,Reliability
195600486,cloud-gov/cg-dashboard,835,Design TD,Maintainability
171020551,classmere/scraper,27,Requirements TD,Functional suitability
106236778,classmere/ios,6,Infrastructure TD,Compatibility
150331698,ckan/ideas,174,Architectural TD,Maintainability
507517655,cityofaustin/techstack,3192,Requirements TD,Functional suitability
601540009,Chroma-2D/Chroma,22,Architectural TD,Maintainability
72433981,ChrisBAshton/smartresolution,78,Architectural TD,Maintainability
172109669,chrisakakay/linden,19,Architectural TD,Maintainability
487692175,census-instrumentation/opencensus-python,779,Design TD,Performance efficiency
484075517,celo-org/celo-monorepo,704,Architectural TD,Maintainability
471832170,celo-org/celo-monorepo,111,Architectural TD,Functional suitability
522409756,celo-org/celo-blockchain,585,Infrastructure TD,Maintainability
461214973,celo-org/celo-blockchain,304,Design TD,Functional suitability
572864237,cds-snc/report-a-cybercrime,1599,Infrastructure TD,Maintainability
571627671,cds-snc/report-a-cybercrime,1577,Design TD,Functional suitability
569954255,cds-snc/report-a-cybercrime,1533,Architectural TD,Reliability
561812598,cds-snc/report-a-cybercrime,1324,Requirements TD,Usability
547035226,cds-snc/report-a-cybercrime,1051,Architechtral TD,Functional suitability
557683526,CDL-Dryad/dryad-product-roadmap,635,Design TD,Performance efficiency
318409631,BuiltonDev/order-widget,30,Code TD,Maintainability
276000187,buildit/icarus,67,Architectural TD,Maintainability
339223825,brianblakely/atlantis,36,Documentation TD,Maintainability
375655440,brave-intl/publishers,1295,Design TD,Maintainability
463488811,brakacai/discord-ghost,16,Test TD,Maintainability
529273879,bradAnderson58/mmorpg,9,Test TD,Maintainability
530470542,bradAnderson58/mmorpg,17,Architectural TD,Maintainability
430207578,BookMyComics-Developers/BookMyComics,41,Test TD,Maintainability
634975425,boa-dev/boa,466,Code TD,Performance efficiency
5477186,blackberry/BB10-WebWorks-Framework,136,Architectural TD,Reliability
5472359,blackberry/BB10-WebWorks-Framework,134,Design TD,Maintainability
209569073,bkimminich/juice-shop-ctf,5,Test TD,Maintainability
209569034,bkimminich/juice-shop,273,Test TD,Maintainability
774103980,bkimminich/juice-shop,1542,Architectural TD,Maintainability
618842355,biglotteryfund/blf-alpha,3367,Design TD,Maintainability
603257849,bethlakshmi/gbe-divio-djangocms-python2.7,117,Design TD,Maintainability
576206961,benetech/ServiceNet,860,Test TD,Maintainability 
629109591,benetech/ServiceNet,1041,Defect TD,Functional suitability
565609589,bcgov/ppr-deprecated,489,Design TD,Maintainability
471225105,bcgov/entity,928,Test TD,Reliability
749053353,bcgov/entity,5716,Design TD,Usability
509276401,bcgov/entity,1587,Design TD,Maintainability
551039739,bazelbuild/rules_scala,929,Design TD,Portability
290167901,bartop-io/bartop,82,Architectural TD,Portability
308222399,bartop-io/bartop,120,Infrastructure TD,Maintainability
305725720,bartop-io/bartop,111,Test TD,Maintainability
551510255,banzaicloud/pipeline,2652,Architectural TD,Maintainability
620159599,Azure/azure-sdk-for-net,12138,Test TD,Maintainability
375566774,Azure/azure-powershell,7705,Test TD,Compatibility
323025583,Azure/azure-powershell,6211,Test TD,Maintainability
294603253,Azure/azure-powershell,5452,Test TD,Maintainability
323708075,azavea/cac-tripplanner,1042,Architectural TD,Maintainability
303235031,azavea/cac-tripplanner,1004,Architectural TD,Reliability
475279643,aws/aws-toolkit-vscode,713,Design TD,Maintainability
205242358,Autodesk/orion-ui,106,Architectural TD,Maintainability
383371916,AtlasOfLivingAustralia/profile-hub,659,Architectural TD,Maintainability
117255939,AtlasOfLivingAustralia/profile-hub,196,Design TD,Usability
502375762,AtlasOfLivingAustralia/biocollect-universal-android,28,Infrastructure TD,Maintainability
425340522,aragon/client,661,Design TD,Maintainability 
635668627,aragon/aragon-apps,1156,Architectural TD,Maintainability
170787549,apicollective/ui,65,Code TD,Maintainability
477464818,apache/trafficcontrol,3843,Design TD,Maintainability
421393275,ANRDigital/ANR-Deck-Builder,54,Design TD,Maintainability
25362631,andrey-p/apocalism-js,8,Design TD,Usability
1653073,andrewkeller/REALbasic-Common-KFS-BSD,49,Test TD,Maintainability
1653038,andrewkeller/REALbasic-Common-KFS-BSD,46,Architectural TD,Maintainability
221516,andrewkeller/REALbasic-Common-KFS-BSD,3,Documentation TD,Maintainability
377616340,amclin/aem-packager,29,Build TD,Maintainability
14094353,alphagov/tagalog,9,Test TD,Maintainability
162173189,alexandregama/mercado-pago-java-sdk,37,Design TD,Functional suitability
499611078,Alek-S/SwiftSheet,93,Architectural TD,Maintainability 
742627811,agrc/deq-enviro,409,Infrastructure TD,Maintainability
179025189,agileseason/agileseason-v1,941,Design TD,Maintainability 
93076870,agileseason/agileseason-v1,476,Architectural TD,Security
680774368,Adventures-In/flireator,22,Design TD,Performance efficiency
768200385,activecm/rita,597,Architectural TD,Performance efficiency
138346250,AbundantCommunities/CommonGood,78,Architectural TD,Maintainability
128642569,AbundantCommunities/CommonGood,16,Design TD,Usability
721689192,AbsaOSS/spline-spark-agent,136,Test TD,Reliability
389679952,4teamwork/opengever.core,5180,Design TD,Performance efficiency
749774041,4sConsult/box4security,10,Architectural TD,Usability
18595620,2martens/de.plugins-zum-selberbauen.ultimateCore,11,Design TD,Maintainability
729897063,2020-nyu-devops/promotions,41,Design TD,Maintainability
483658329,1Hive/apiary,39,Build TD,Performance efficiency
230873580,18F/federalist,934,Architectural TD,Maintainability
441328940,18F/federalist,2250,Build TD,Performance efficiency
522874534,10PinesLabs/ruth,8,Architectural TD,Maintainability
