IssueID,Repo,Number(sequence No. in the current repo),TDType,QA
304409370,strongloop/loopback-next,1117,Architectural TD,Maintainability
605021621,streamdevs/webhook,128,Test TD,Maintainability
485448311,stoplightio/spectral,494,Design TD,Functional suitability
592050302,stern-devops-2020-inventory/inventory,48,Test TD,Reliability
267954303,status-im/status-react,2287,Design TD,Maintainability
322741501,spine-examples/todo-list,62,Design TD,Maintainability
560627017,spacetx/starfish,1776,Test TD,Maintainability
560582585,spacetx/starfish,1768,Test TD,Maintainability
583119987,spacemeshos/go-spacemesh,1903,Design TD,Security
483428704,spacemeshos/go-spacemesh,1354,Architectural TD,Performance efficiency
452443075,sourcegraph/sourcegraph,4377,Test TD,Maintainability
398709038,sourcegraph/sourcegraph,1854,Documentation TD,Maintainability 
754095071,sourcegraph/sourcegraph,16273,Design TD,Maintainability
220457112,sourcegraph/javascript-typescript-langserver,149,Design TD,Performance efficiency
488145676,SonicOriginalSoftware/GamerSaver,36,Code TD,Maintainability
17500533,SomMeri/less4j,156,Build TD,Maintainability 
232291937,SolutionGuidance/psm,57,Architectural TD,Maintainability
236583723,SolutionGuidance/psm,165,Design TD,Maintainability
225754795,SolutionGuidance/psm,16,Infrastructure TD,Maintainability
717921998,SmartBear/git-en-boite,262,Infrastructure TD,Maintainability
613761486,smallstep/certificates,250,Architectural TD,Functional suitability
376685361,simplabs/simplabs.github.io,223,Design TD,Maintainability
244889284,shreepads/scribrbot,5,Design TD,Maintainability
244902723,shreepads/scribrbot,12,Design TD,Performance efficiency
561981721,shlinkio/shlink-web-client,203,Architectural TD,Maintainability
325866754,sensu/sensu-go,1598,Test TD,Maintainability
316903388,sensu/sensu-go,1355,Architectural TD,Maintainability
391784951,semi-technologies/weaviate,642,Test TD,Reliability
559582394,SelfKeyFoundation/Identity-Wallet,2027,Architectural TD,Maintainability
492177395,ScottLogic/StockFlux,1259,Design TD,Maintainability
298065529,scionaltera/redemption,17,Architectural TD,Portability
391337548,scionaltera/arbitrader,15,Test TD,Maintainability 
655483094,sanderkrause/geekbase,20,Design TD,Maintainability
219023249,samvera-labs/dog_biscuits,17,Test TD,Maintainability
199955817,samvera-deprecated/sufia,3005,Design TD,Maintainability
151692842,samvera-deprecated/sufia,1936,Architectural TD,Maintainability
295264119,samvera/hyrax,2630,Test TD,Maintainability 
291571296,samvera/hyrax,2568,Infrastructure TD,Portability
185166454,salte-io/dry-parser,73,Build TD,Maintainability 
587830925,salesforce/bazel-springboot-rule,27,Architectural TD,Reliability
424278357,rubberduck-vba/Rubberduck,4872,Infrastructure TD,Compatibility
400892908,rubberduck-vba/Rubberduck,4723,Architectural TD,Maintainability 
369893494,rubberduck-vba/Rubberduck,4435,Code TD,Maintainability
690079853,rs-ipfs/rust-ipfs,352,Code TD,Functional suitability
648129227,ripple/rippled,3468,Defect TD,Reliability
150241622,rice-apps/scheduleplanner,19,Design TD,Maintainability
516522806,ricardoalcaraz/Productivize.me,22,Architectural TD,Performance efficiency
100337331,refinery-platform/refinery-platform,589,Architectural TD,Maintainability
100166880,refinery-platform/refinery-platform,588,Defect TD,Reliability
401878198,refinery-platform/refinery-platform,3180,Architectural TD,Portability
148707240,refinery-platform/refinery-platform,1016,Architectural TD,Functional suitability
489391065,redhat-developer/vscode-quarkus,64,Test TD,Maintainability
666186666,redhat-cop/pelorus,151,Deployment TD,Maintainability
100578417,redcross/smoke-alarm-portal,99,Code TD,Reliability
238027227,redbluegames/unity-mulligan-renamer,64,Design TD,Maintainability
314363728,redbluegames/unity-mulligan-renamer,161,Design TD,Maintainability 
280282285,RealismusModding/FS17_seasons,689,Design TD,Maintainability
204041459,RealismusModding/FS17_seasons,128,Design TD,Maintainability
174105539,react-page/react-page,143,Design TD,Maintainability
434904922,raster-foundry/raster-foundry,4883,Test TD,Maintainability
369568584,raster-foundry/raster-foundry,4202,Design TD,Portability
311640383,raster-foundry/raster-foundry,3133,Design TD,Reliability
275842597,raster-foundry/raster-foundry,2729,Architectural TD,Security
578588092,rapidsai/cuml,1841,Architectural TD,Portability
644884161,rapidsai/cudf,5571,Test TD,Maintainability
417460968,rapidsai/cudf,1099,Build TD,Performance efficiency
40207482,rafecolton/docker-builder,112,Test TD,Security
182331320,punchcard-cms/punchcard,487,Architectural TD,Maintainability
450450774,pubpub/pubpub,370,Design TD,Maintainability
117467190,Protobuild/Protobuild,131,Architectural TD,Maintainability
55300706,projectblacklight/spotlight,893,Architectural TD,Performance efficiency
499954744,Products-Squad/products,12,Design TD,Reliability
42150712,polyphony-ot/libot,19,Test TD,Maintainability
742993427,polyaxon/polyaxon,1162,Infrastructure TD,Maintainability
183587640,pokedextracker/pokedextracker.com,184,Architectural TD,Maintainability
406980201,podStation/podStation,11,Infrastructure TD,Maintainability
382991809,plan-player-analytics/Plan,817,Architectural TD,Reliability
341331792,php-coder/mystamps,922,Design TD,Maintainability 
341265184,php-coder/mystamps,903,Test TD,Maintainability
294115226,php-coder/mystamps,836,Test TD,Maintainability
278629623,php-coder/mystamps,724,Design TD,Security
273960636,php-coder/mystamps,701,Design TD,Security
42931456,php-coder/mystamps,58,Test TD,Functional suitability
211876941,php-coder/mystamps,541,Infrastructure TD,Functional suitability
197892750,php-coder/mystamps,521,Test TD,Maintainability 
627796613,php-coder/mystamps,1419,Design TD,Functional suitability
623954163,php-coder/mystamps,1412,Design TD,Reliability
622806984,php-coder/mystamps,1401,Test TD,Maintainability
612036550,php-coder/mystamps,1385,Test TD,Maintainability
608662857,php-coder/mystamps,1367,Code TD,Maintainability
510928662,php-coder/mystamps,1135,Architectural TD,Maintainability
498229568,Pepcus/yjsgUI,214,Architectural TD,Maintainability
643938982,PathwayCommons/factoid,760,Design TD,Maintainability
172606803,paragonie/airship,127,Architectural TD,Maintainability
541388317,pallene-lang/pallene,150,Design TD,Maintainability
623804706,padamchopra/habitus,15,Design TD,Maintainability
174847114,pachyderm/pachyderm,776,Test TD,Maintainability 
258161765,pachyderm/pachyderm,2301,Test TD,Maintainability
230558220,pachyderm/pachyderm,1863,Test TD,Maintainability
204390891,pachyderm/pachyderm,1295,Test TD,Reliability
687921132,pace-neutrons/Horace,337,Test TD,Maintainability
367085266,owncloud/testing,36,Test TD,Maintainability
367046051,owncloud/data_exporter,34,Test TD,Maintainability
35941582,owncloud/core,9078,Design TD,Maintainability
